date_of_birth,sub_position,position,foot,height_in_cm,current_club_id,player_club_domestic_competition_id
2001-08-14,Right Winger,Attack,right,160.0,54189,BE1
2004-01-23,Attacking Midfield,Midfield,right,179.0,610,NL1
2002-03-01,Centre-Forward,Attack,left,195.0,167,L1
2004-07-04,Goalkeeper,Goalkeeper,right,193.0,2293,TR1
1998-04-07,Central Midfield,Midfield,right,182.0,7775,TR1
1997-10-08,Defensive Midfield,Midfield,right,187.0,3,L1
1999-05-26,Right Winger,Attack,left,170.0,1465,PO1
2006-03-10,Goalkeeper,Goalkeeper,right,187.0,589,TR1
1998-05-27,Goalkeeper,Goalkeeper,right,191.0,252,IT1
1998-03-27,Attacking Midfield,Midfield,left,172.0,6418,GR1
2004-09-07,Central Midfield,Midfield,right,183.0,1025,IT1
2000-09-29,Defensive Midfield,Midfield,right,177.0,16704,RU1
1997-10-03,Left Winger,Attack,right,179.0,2293,TR1
2000-06-13,Central Midfield,Midfield,right,166.0,1091,GR1
1997-12-10,Centre-Back,Defender,right,185.0,2293,TR1
2005-05-07,Left Winger,Attack,right,180.0,24,L1
1991-10-03,Right-Back,Defender,right,178.0,3911,FR1
1997-10-10,Attacking Midfield,Midfield,left,183.0,124,SC1
2001-04-18,Centre-Back,Defender,left,186.0,7775,TR1
1997-08-08,Centre-Forward,Attack,right,186.0,467,NL1
2002-09-03,Right Winger,Attack,right,177.0,354,BE1
2000-08-07,Centre-Forward,Attack,left,188.0,2727,BE1
1999-08-02,Centre-Forward,Attack,right,186.0,940,ES1
1999-07-04,Defensive Midfield,Midfield,right,188.0,499,NL1
1996-08-09,Defensive Midfield,Midfield,right,179.0,10484,TR1
1995-01-12,Central Midfield,Midfield,right,177.0,2381,TR1
2002-10-31,Defensive Midfield,Midfield,both,184.0,589,TR1
1996-03-29,Right Winger,Attack,left,172.0,3911,FR1
1998-08-17,Left-Back,Defender,left,182.0,11282,TR1
1988-08-25,Centre-Back,Defender,right,188.0,589,TR1
1993-10-07,Defensive Midfield,Midfield,right,184.0,36,TR1
2000-01-14,Centre-Forward,Attack,left,189.0,601,BE1
1998-06-26,Centre-Forward,Attack,right,179.0,1158,FR1
2000-04-01,Centre-Forward,Attack,right,180.0,350,GB1
2001-05-21,Central Midfield,Midfield,right,173.0,2759,SC1
2003-07-26,Defensive Midfield,Midfield,right,173.0,2293,TR1
2001-01-01,Goalkeeper,Goalkeeper,right,195.0,114,TR1
2004-07-26,Centre-Back,Defender,both,187.0,60949,GR1
1998-10-02,Right-Back,Defender,right,176.0,2671,GR1
1994-05-05,Right-Back,Defender,right,178.0,940,ES1
2000-10-06,Centre-Back,Defender,right,184.0,873,GB1
1995-04-18,Centre-Forward,Attack,right,189.0,703,GB1
1994-06-14,Centre-Forward,Attack,right,191.0,868,TR1
1997-08-25,Centre-Back,Defender,left,190.0,3948,BE1
2002-09-02,Right Winger,Attack,right,180.0,1096,BE1
1988-06-11,Left-Back,Defender,left,177.0,589,TR1
1994-02-18,Defensive Midfield,Midfield,right,191.0,11282,TR1
